Measured Data,,,,,,,,,,,,Obtained from measured data,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
MD,DTC,DTS,GR,DEN,NEU,RES-SHT,RES-MED,RES-DEP,Hole Size,Caliper,,Poisson,Vp (Measured),Vs (Measured),
(ft),(micro-sec/ft),(micro-sec/ft),(GRAPI),(g/cc),(PU),(Ohms-m),(Ohms-m),(Ohms-m),(Inches),(Inches),,Unitless,(km/s),(km/s),
9091.207349,93.7653,157.1006,9.4465,2.4112,31.98,0.824,0.7118,0.8853,8.5,8.6719,,0.223326964,3.250669491,1.94015809,2.093419174
9091.535433,91.5577,153.7642,8.4271,2.4102,29.59,0.8792,0.8197,0.8971,8.5,8.6562,,0.225344901,3.32904824,1.982255948,2.144339508
9091.863517,89.3498,150.4303,8.8801,2.4043,27.17,0.8942,0.957,0.9006,8.5,8.625,,0.22745297,3.411311497,2.026187543,2.200022132
9092.191601,87.0345,148.1311,11.0801,2.4004,24.59,0.9127,1.1036,0.9143,8.5,8.6249,,0.2363899,3.502059528,2.057636783,2.260381348
9092.519685,84.6426,146.5693,13.8544,2.4018,22.92,0.9355,1.0286,0.9437,8.5,8.6017,,0.249815802,3.601023598,2.079562364,2.323579558
9092.847769,82.2524,145.0095,14.5196,2.4039,21.76,0.9615,0.8839,0.9705,8.5,8.6249,,0.26282022,3.705666947,2.101931253,2.390056596
9093.175853,80.517,144.2829,13.6162,2.4012,21.06,0.9715,0.8751,0.9792,8.5,8.5782,,0.273868759,3.785535974,2.112516452,2.442942305
9093.503937,79.3484,144.2777,12.2076,2.3934,21.58,0.977,0.8698,0.9831,8.5,8.6017,,0.283188087,3.841287285,2.112592591,2.482956696
9093.832021,78.1809,144.2728,11.0821,2.3833,21.98,0.9864,0.8728,0.9893,8.5,8.625,,0.292133997,3.898650438,2.112664341,2.525369556
9094.160105,77.4256,144.4162,10.7423,2.3757,22.85,0.9988,0.8973,0.9991,8.5,8.625,,0.298311138,3.936682441,2.110566543,2.554080517
9094.488189,77.1028,144.7152,11.4991,2.3751,23.44,0.995,0.9629,1.0064,8.5,8.625,,0.301807522,3.953163828,2.106205844,2.565097415
9094.816273,76.7803,145.0138,11.0831,2.3832,23.44,1.0183,1.0419,1.0237,8.5,8.625,,0.30523004,3.969768287,2.101868926,2.571490433
9095.144357,76.6214,145.1278,11.6174,2.3954,23.2,1.0594,1.1061,1.0499,8.5,8.6249,,0.306768928,3.978000924,2.100217877,2.570252895
9095.472441,76.6704,145.0072,11.4323,2.4048,22.47,1.1101,1.1287,1.0766,8.5,8.5782,,0.305978877,3.975458586,2.101964592,2.563585178
9095.800525,76.7193,144.8864,11.4342,2.4084,21.54,1.1387,1.1577,1.1018,8.5,8.625,,0.305184493,3.972924675,2.103717119,2.560035701
9096.128609,76.6987,144.7391,10.0594,2.4094,21.21,1.1522,1.2057,1.1183,8.5,8.625,,0.304778613,3.973991736,2.105858058,2.560191826
9096.456693,76.5704,144.5502,9.4012,2.4112,21.18,1.218,1.2315,1.1749,8.5,8.625,,0.304978385,3.980650486,2.108610019,2.563524246
9096.784777,76.4422,144.3612,10.0893,2.4145,21.28,1.2475,1.3265,1.2295,8.5,8.625,,0.305177407,3.987326372,2.111370645,2.566068115
9097.112861,76.3455,144.0864,8.9977,2.418,21.26,1.2672,1.3242,1.2451,8.5,8.625,,0.304830709,3.992376761,2.115397428,2.567458135
9097.440945,76.309,143.6486,10.9462,2.4215,21.05,1.289,1.3301,1.2594,8.5,8.625,,0.30343236,3.994286388,2.121844557,2.566829156
9097.769029,76.2726,143.211,13.5573,2.4264,20.76,1.3055,1.3394,1.2687,8.5,8.6249,,0.302016178,3.996192604,2.128328131,2.565459796
9098.097113,76.2811,142.9059,12.889,2.4322,20.85,1.3419,1.385,1.2975,8.5,8.5782,,0.30077071,3.995747308,2.132872051,2.562113551
9098.425197,76.3956,142.9148,11.7521,2.4366,20.43,1.368,1.4241,1.3169,8.5,8.6249,,0.299967551,3.989758572,2.132739226,2.555962611
9098.753281,76.5102,142.9237,11.2241,2.4379,20.68,1.3886,1.4571,1.3317,8.5,8.5781,,0.299160751,3.983782554,2.132606419,2.551453641
9099.081365,76.6448,142.8907,10.2178,2.4373,20.72,1.3955,1.5093,1.3471,8.5,8.5781,,0.298037084,3.976786423,2.133098935,2.547286378
9099.409449,76.8397,142.7314,9.2925,2.4369,20.75,1.3563,1.5952,1.3559,8.5,8.5781,,0.295950547,3.966699506,2.135479649,2.541033836
9099.737533,77.0346,142.5723,8.9091,2.4392,20.6,1.3466,1.5729,1.3669,8.5,8.5782,,0.29383996,3.956663629,2.137862684,2.533409677
9100.065617,77.197,142.4276,8.7763,2.4441,19.78,1.3778,1.3823,1.3866,8.5,8.6249,,0.292011897,3.948339961,2.140034656,2.525544667
9100.393701,77.2303,142.341,9.0109,2.451,19.27,1.3745,1.2227,1.3982,8.5,8.5781,,0.29139846,3.946637524,2.141336649,2.520899808
9100.721785,77.2634,142.2542,11.1504,2.457,18.51,1.3926,1.2067,1.4226,8.5,8.5781,,0.290783272,3.944946767,2.14264324,2.516741259
9101.049869,77.2411,142.0901,10.7711,2.4588,18.19,1.4553,1.2726,1.4372,8.5,8.5781,,0.290268721,3.946085698,2.145117781,2.516546215
9101.377953,76.9116,141.4982,9.002,2.4532,18.47,1.528,1.502,1.438,8.5,8.5782,,0.29032862,3.962991278,2.154091006,2.530210412
9101.706037,76.582,140.9065,8.5236,2.4402,18.86,1.5384,1.6505,1.4339,8.5,8.625,,0.290390629,3.980047531,2.163136548,2.547859921
9102.034121,76.2266,140.3416,7.8814,2.4238,19.58,1.5473,1.7698,1.4293,8.5,8.625,,0.290767681,3.998604162,2.171843559,2.568384398
9102.362205,75.653,140.0054,7.5414,2.4096,20.02,1.5409,1.9646,1.4261,8.5,8.625,,0.293798801,4.028921523,2.177058885,2.595471897
9102.690289,75.0795,139.6691,7.1385,2.4024,20.1,1.4951,2.1285,1.4155,8.5,8.625,,0.296801821,4.059696721,2.182300881,2.619213686
